alias,pop,parent,dims,gating_method,gating_args,collapseDataForGating,groupBy,preprocessing_method,preprocessing_args
nonDebris,nonDebris,root,FSC.A,mindensity,"gate_range=c(0,100000)",,,,
Lymphocytes,Lymphocytes,nonDebris,"FSC.A,SSC.A",flowClust,"K=2,target=c(1e5,5e4),randomStart=0",,,prior_flowClust,K=2
Bcells,CD19+,Lymphocytes,CD19,mindensity,,,,,
Bcl2+,Bcl2+,Bcells,Bcl2,tailgate,,,,,
CD38+,CD38+,Bcells,CD38,tailgate,,,,,
Ki67+,Ki67+,Bcells,Ki67,tailgate,,,,,
CD27+,CD27+,Bcells,CD27,tailgate,,,,,
IgD+,IgD+,Bcells,IgD,tailgate,,,,,
IgM+,IgM+,Bcells,IgM,tailgate,,,,,
CD21+,CD21+,Bcells,CD21,tailgate,,,,,
CD5+,CD5+,Bcells,CD5,tailgate,,,,,
CXCR5+,CXCR5+,Bcells,CXCR5,tailgate,,,,,
Bcl2-,Bcl2-,Bcells,Bcl2,tailgate,,,,,
CD38-,CD38-,Bcells,CD38,tailgate,,,,,
Ki67-,Ki67-,Bcells,Ki67,tailgate,,,,,
CD27-,CD27-,Bcells,CD27,tailgate,,,,,
IgD-,IgD-,Bcells,IgD,tailgate,,,,,
IgM-,IgM-,Bcells,IgM,tailgate,,,,,
CD21-,CD21-,Bcells,CD21,tailgate,,,,,
CD5-,CD5-,Bcells,CD5,tailgate,,,,,
CXCR5-,CXCR5-,Bcells,CXCR5,tailgate,,,,,
