alias,pop,parent,dims,gating_method,gating_args,collapseDataForGating,groupBy,preprocessing_method,preprocessing_args
nonDebris,nonDebris,root,FSC.A,mindensity,"gate_range=c(0,100000)",,,,
Lymphocytes,Lymphocytes,nonDebris,"FSC.A,SSC.A",flowClust,"K=2,quantile=0.95,target=c(1e5,5e4)",,,prior_flowClust,K=2
CD3,CD3+,Lymphocytes,CD3,mindensity,,,,,
*,CD4+/-CD8+/-,CD3,"CD4,CD8",mindensity,,,,,
CD4.CD127,FITC.A+,CD4+CD8-,FITC.A,tailgate,,,,,
CD4.CD25,APC.Cy7.A+,CD4+CD8-,APC.Cy7.A,tailgate,,,,,
CD4.PD1,PE.A+,CD4+CD8-,PE.A,tailgate,,,,,
CD4.HLADR,PerCP.Cy5.5.A+,CD4+CD8-,PerCP.Cy5.5.A,tailgate,,,,,
CD4.CD62L,CD62L+,CD4+CD8-,CD62L,mindensity,,,,,
CD4.CD45RO,CD45RO+,CD4+CD8-,CD45RO,mindensity,,,,,
CD8.CD127,FITC.A+,CD4-CD8+,FITC.A,tailgate,,,,,
CD8.CD25,APC.Cy7.A+,CD4-CD8+,APC.Cy7.A,tailgate,,,,,
CD8.PD1,PE.A+,CD4-CD8+,PE.A,tailgate,,,,,
CD8.HLADR,PerCP.Cy5.5.A+,CD4-CD8+,PerCP.Cy5.5.A,tailgate,,,,,
CD8.CD62L,CD62L+,CD4-CD8+,CD62L,mindensity,,,,,
CD8.CD45RO,CD45RO+,CD4-CD8+,CD45RO,mindensity,,,,,
Treg,CD127-CD25+,CD4+CD8-,"CD127,CD25",refGate,CD4.CD127:CD4.CD25,,,,
TN4,CD62L+CD45RO-,CD4+CD8-,"CD62L,CD45RO",refGate,CD4.CD62L:CD4.CD45RO,,,,
TCM4,CD62L+CD45RO+,CD4+CD8-,"CD62L,CD45RO",refGate,CD4.CD62L:CD4.CD45RO,,,,
TEM4,CD62L-CD45RO+,CD4+CD8-,"CD62L,CD45RO",refGate,CD4.CD62L:CD4.CD45RO,,,,
TES4,CD62L-CD45RO-,CD4+CD8-,"CD62L,CD45RO",refGate,CD4.CD62L:CD4.CD45RO,,,,
TN4.PD1,PE.A+,TN4,PE.A,tailgate,,,,,
TEM4.PD1,PE.A+,TEM4,PE.A,tailgate,,,,,
TCM4.PD1,PE.A+,TCM4,PE.A,tailgate,,,,,
TES4.PD1,PE.A+,TES4,PE.A,tailgate,,,,,
TN4.CD25,APC.Cy7.A+,TN4,APC.Cy7.A,tailgate,,,,,
TEM4.CD25,APC.Cy7.A+,TEM4,APC.Cy7.A,tailgate,,,,,
TCM4.CD25,APC.Cy7.A+,TCM4,APC.Cy7.A,tailgate,,,,,
TES4.CD25,APC.Cy7.A+,TES4,APC.Cy7.A,tailgate,,,,,
TN4.HLADR,PerCP.Cy5.5.A+,TN4,PerCP.Cy5.5.A,tailgate,,,,,
TEM4.HLADR,PerCP.Cy5.5.A+,TEM4,PerCP.Cy5.5.A,tailgate,,,,,
TCM4.HLADR,PerCP.Cy5.5.A+,TCM4,PerCP.Cy5.5.A,tailgate,,,,,
TES4.HLADR,PerCP.Cy5.5.A+,TES4,PerCP.Cy5.5.A,tailgate,,,,,
TN4.CD127,FITC.A+,TN4,FITC.A,tailgate,,,,,
TEM4.CD127,FITC.A+,TEM4,FITC.A,tailgate,,,,,
TCM4.CD127,FITC.A+,TCM4,FITC.A,tailgate,,,,,
TES4.CD127,FITC.A+,TES4,FITC.A,tailgate,,,,,
TN8,CD62L+CD45RO-,CD4-CD8+,"CD62L,CD45RO",refGate,CD8.CD62L:CD8.CD45RO,,,,
TCM8,CD62L+CD45RO+,CD4-CD8+,"CD62L,CD45RO",refGate,CD8.CD62L:CD8.CD45RO,,,,
TEM8,CD62L-CD45RO+,CD4-CD8+,"CD62L,CD45RO",refGate,CD8.CD62L:CD8.CD45RO,,,,
TES8,CD62L-CD45RO-,CD4-CD8+,"CD62L,CD45RO",refGate,CD8.CD62L:CD8.CD45RO,,,,
TN8.PD1,PE.A+,TN8,PE.A,tailgate,,,,,
TEM8.PD1,PE.A+,TEM8,PE.A,tailgate,,,,,
TCM8.PD1,PE.A+,TCM8,PE.A,tailgate,,,,,
TES8.PD1,PE.A+,TES8,PE.A,tailgate,,,,,
TN8.CD25,APC.Cy7.A+,TN8,APC.Cy7.A,tailgate,,,,,
TEM8.CD25,APC.Cy7.A+,TEM8,APC.Cy7.A,tailgate,,,,,
TCM8.CD25,APC.Cy7.A+,TCM8,APC.Cy7.A,tailgate,,,,,
TES8.CD25,APC.Cy7.A+,TES8,APC.Cy7.A,tailgate,,,,,
TN8.HLADR,PerCP.Cy5.5.A+,TN8,PerCP.Cy5.5.A,tailgate,,,,,
TEM8.HLADR,PerCP.Cy5.5.A+,TEM8,PerCP.Cy5.5.A,tailgate,,,,,
TCM8.HLADR,PerCP.Cy5.5.A+,TCM8,PerCP.Cy5.5.A,tailgate,,,,,
TES8.HLADR,PerCP.Cy5.5.A+,TES8,PerCP.Cy5.5.A,tailgate,,,,,
TN8.CD127,FITC.A+,TN8,FITC.A,tailgate,,,,,
TEM8.CD127,FITC.A+,TEM8,FITC.A,tailgate,,,,,
TCM8.CD127,FITC.A+,TCM8,FITC.A,tailgate,,,,,
TES8.CD127,FITC.A+,TES8,FITC.A,tailgate,,,,,
Treg.PD1,PE.A+,Treg,PE.A,tailgate,,,,,
Treg.HLADR,PerCP.Cy5.5.A+,Treg,PerCP.Cy5.5.A,tailgate,,,,,
Treg.CD62L,CD62L+,Treg,CD62L,mindensity,,,,,
Treg.CD45RO,CD45RO+,Treg,CD45RO,mindensity,,,,,
TregN,CD62L+CD45RO-,Treg,"CD62L,CD45RO",refGate,CD4.CD62L:CD4.CD45RO,,,,
TregCM,CD62L+CD45RO+,Treg,"CD62L,CD45RO",refGate,CD4.CD62L:CD4.CD45RO,,,,
TregEM,CD62L-CD45RO+,Treg,"CD62L,CD45RO",refGate,CD4.CD62L:CD4.CD45RO,,,,
TregES,CD62L-CD45RO-,Treg,"CD62L,CD45RO",refGate,CD4.CD62L:CD4.CD45RO,,,,
TregN.PD1,PE.A+,TregN,PE.A,tailgate,,,,,
TregEM.PD1,PE.A+,TregEM,PE.A,tailgate,,,,,
TregCM.PD1,PE.A+,TregCM,PE.A,tailgate,,,,,
TregES.PD1,PE.A+,TregES,PE.A,tailgate,,,,,
TregN.HLADR,PerCP.Cy5.5.A+,TregN,PerCP.Cy5.5.A,tailgate,,,,,
TregEM.HLADR,PerCP.Cy5.5.A+,TregEM,PerCP.Cy5.5.A,tailgate,,,,,
TregCM.HLADR,PerCP.Cy5.5.A+,TregCM,PerCP.Cy5.5.A,tailgate,,,,,
TregES.HLADR,PerCP.Cy5.5.A+,TregES,PerCP.Cy5.5.A,tailgate,,,,,
