alias,pop,parent,dims,gating_method,gating_args,collapseDataForGating,groupBy,preprocessing_method,preprocessing_args
nonDebris,nonDebris,root,FSC.A,mindensity,"gate_range=c(0,100000)",,,,
Lymphocytes,Lymphocytes,nonDebris,"FSC.A,SSC.A",flowClust,"K=2,target=c(1e5,5e4),randomStart=0",,,prior_flowClust,K=2
CD3,CD3+,Lymphocytes,CD3,mindensity,,,,,
CD4,CD4+,CD3,CD4,mindensity,,,,,
Treg,Treg,CD4,"CD25,FOXP3",flowClust,"transitional=TRUE,translation=0.75,quantile=0.75",,,,K=2
CTLA4+,CTLA4+,Treg,CTLA4,tailgate,,,,,
KI67+,KI67+,Treg,KI67,tailgate,,,,,
ICOS+,ICOS+,Treg,ICOS,tailgate,,,,,
CD73+,CD73+,Treg,CD73,tailgate,,,,,
CD39+,CD39+,Treg,CD39,tailgate,,,,,
CTLA4-,CTLA4-,Treg,CTLA4,tailgate,,,,,
KI67-,KI67-,Treg,KI67,tailgate,,,,,
ICOS-,ICOS-,Treg,ICOS,tailgate,,,,,
CD73-,CD73-,Treg,CD73,tailgate,,,,,
CD39-,CD39-,Treg,CD39,tailgate,,,,,
CD45RA,CD45RA,CD4,CD45RA,mindensity,,,,,
