alias,pop,parent,dims,gating_method,gating_args,collapseDataForGating,groupBy,preprocessing_method,preprocessing_args
nonDebris,nonDebris,root,FSC.A,mindensity,"gate_range=c(0,100000)",,,,
Lymphocytes,Lymphocytes,nonDebris,"FSC.A,SSC.A",flowClust,"K=2,target=c(1e5,5e4),randomStart=0",,,prior_flowClust,K=2
Bcells,CD19+,Lymphocytes,CD19,mindensity,,,,,
Bcl2+,Bcl2+,Bcells,Bcl2,quantileGate,probs=0.75,,,,
CD38+,CD38+,Bcells,CD38,quantileGate,probs=0.75,,,,
Ki67+,Ki67+,Bcells,Ki67,quantileGate,probs=0.75,,,,
CD27+,CD27+,Bcells,CD27,quantileGate,probs=0.75,,,,
IgD+,IgD+,Bcells,IgD,quantileGate,probs=0.75,,,,
IgM+,IgM+,Bcells,IgM,quantileGate,probs=0.75,,,,
CD21+,CD21+,Bcells,CD21,quantileGate,probs=0.75,,,,
CD5+,CD5+,Bcells,CD5,quantileGate,probs=0.75,,,,
CXCR5+,CXCR5+,Bcells,CXCR5+,quantileGate,probs=0.75,,,,
Bcl2-,Bcl2-,Bcells,Bcl2,quantileGate,probs=0.25,,,,
CD38-,CD38-,Bcells,CD38,quantileGate,probs=0.25,,,,
Ki67-,Ki67-,Bcells,Ki67,quantileGate,probs=0.25,,,,
CD27-,CD27-,Bcells,CD27,quantileGate,probs=0.25,,,,
IgD-,IgD-,Bcells,IgD,quantileGate,probs=0.25,,,,
IgM-,IgM-,Bcells,IgM,quantileGate,probs=0.25,,,,
CD21-,CD21-,Bcells,CD21,quantileGate,probs=0.25,,,,
CD5-,CD5-,Bcells,CD5,quantileGate,probs=0.25,,,,
CXCR5-,CXCR5-,Bcells,CXCR5,quantileGate,probs=0.25,,,,
